Tempo inicial:  1620763193.885038
D 92.8187141418457 88.0570182800293 7.894280672073364
E 165.93865203857422 68.14110469818115 8.223164796829224
D 71.27294540405273 66.15942001342773 8.33587098121643
D 81.56467819213867 74.78358173370361 8.445337533950806
D 84.02051162719727 70.62820434570312 8.555972337722778
D 80.01680755615234 70.07843208312988 8.664459466934204
D 82.11959457397461 72.77608108520508 8.779212713241577
D 74.03149795532227 68.65879249572754 8.884737253189087
D 79.37777709960938 72.58222198486328 9.001134634017944
D 80.44061279296875 67.14559364318848 9.105589389801025
D 74.5 67.5 9.217607259750366
D 80.5 70.5 9.325247049331665
E 177.7810287475586 72.38120555877686 9.327011108398438
D 78.15568923950195 65.5608777999878 9.435996532440186
D 76.04474258422852 68.60850143432617 9.544718503952026
D 68.5 65.6666669845581 9.64893364906311
E 161.21875 62.78993034362793 10.09439206123352
E 162.06896591186523 61.218390464782715 10.203415155410767
D 62.13661193847656 60.26958084106445 10.20532488822937
E 161.13099479675293 63.0222225189209 10.31332516670227
D 60.68739128112793 66.53367900848389 10.315134048461914
E 163.1951560974121 66.2635326385498 10.429884195327759
D 61.934295654296875 68.64262866973877 10.432409524917603
E 164.98294639587402 67.24961280822754 10.543666362762451
D 63.58333206176758 70.00146198272705 10.54601788520813
E 162.1183681488037 65.02176856994629 10.651836395263672
D 60.89827919006348 67.47104835510254 10.65385890007019
E 161.9746379852295 66.06521701812744 10.757256031036377
D 61.03288459777832 69.18834114074707 10.759282350540161
D 41.64242458343506 67.59393978118896 10.760508060455322
E 163.85328102111816 67.65508365631104 10.881262063980103
D 62.56420135498047 69.65758800506592 10.883431673049927
D 62.96120643615723 70.25718402862549 10.981436014175415
E 164.21666717529297 67.23452377319336 10.983496904373169
E 163.64427947998047 65.61194038391113 11.094418287277222
D 61.870439529418945 68.08804988861084 11.0971360206604
E 163.3719997406006 65.74666690826416 11.192731142044067
D 61.176265716552734 65.84467697143555 11.194594383239746
