Olho| Deslocamento| Tempo(s)

E 191.8815405790262 123.04763865470886
E 191.8000328673129 123.0477511882782
D 97.47490337205332 123.04896211624146
D 98.27372058964755 123.04904413223267
E 189.73072181439846 123.16127967834473
E 189.13033266783935 123.16137266159058
D 93.88706587716406 123.1627345085144
D 93.89754429997232 123.16285729408264
D 88.1716182277547 123.26953887939453
D 88.56201693493452 123.26963067054749
E 183.50566758934667 123.27088499069214
E 183.63446909902308 123.2710394859314
D 94.63480057007318 123.37949109077454
D 94.90071425158473 123.37960958480835
E 188.98161720015167 123.38103175163269
E 189.38313448045122 123.38110876083374
D 94.32479571003923 123.48663139343262
D 93.83029565162477 123.48670935630798
E 189.5924645312325 123.48791861534119
E 188.5595978544938 123.48798537254333
D 98.679776090793 123.59920406341553
E 193.3149189540299 123.60043358802795
E 193.31445615070032 123.6005027294159
D 98.08735803430913 123.71664714813232
D 97.9058596752406 123.71672797203064
E 192.2279437695027 123.71807909011841
E 192.18259601993506 123.71815896034241
D 98.55133556516755 123.81344056129456
D 98.84454083377223 123.81353974342346
E 193.18895928850174 123.81501984596252
E 192.9099689096328 123.81512403488159
D 97.94907486167267 123.9252712726593
E 194.27133978569861 123.92701959609985
E 194.23996597438074 123.92714595794678
D 99.27516664177668 124.04029512405396
D 99.72369941654314 124.04041051864624
E 194.97126811163247 124.04314064979553
E 194.56094003481107 124.0432460308075
D 102.3632508927584 124.15528130531311
D 102.09919919557522 124.15538144111633
E 195.71007519548746 124.15704107284546
E 194.87782776506683 124.15715742111206
D 95.08457549773351 124.26161003112793
D 95.10329769550677 124.2617175579071
E 189.93894285917506 124.26331758499146
E 189.2277399436873 124.2634220123291
D 95.24691742222534 124.37328481674194
D 95.57048292670534 124.37339353561401
E 189.11595988288406 124.37476634979248
E 189.13127234144804 124.37489080429077
D 92.00886399261245 124.48028516769409
D 92.34298183097901 124.48039269447327
E 187.13897345937534 124.48201012611389
E 187.13197910550994 124.48209142684937
D 94.77212237540577 124.59420013427734
D 95.2664116874676 124.59428143501282
E 189.1280616252179 124.59553599357605
E 188.03474816031272 124.59560942649841
D 91.02761685255135 124.70675086975098
D 91.0521779438956 124.70684385299683
E 186.4749078203027 124.71021795272827
D 100.92484382427051 124.82608962059021
D 101.17960760089368 124.82618546485901
E 194.9851510667191 124.82774639129639
D 93.3428748662757 124.92243313789368
D 93.45068501649124 124.92252802848816
E 189.68681997220594 124.92383909225464
E 188.71836921379872 124.923907995224
E 183.6070983076803 125.02592539787292
E 183.58365586462838 125.02600193023682
E 191.03292329559545 125.15035343170166
E 191.20488642350549 125.15046787261963
D 101.36761613703781 125.23832297325134
E 195.12785560845944 125.24088788032532
E 194.6621362290041 125.24101257324219
E 190.69075009530704 125.37762594223022
E 189.70510298075325 125.37772488594055
D 93.6650179262112 125.37886357307434
D 94.0121225793226 125.46558618545532
D 93.58538849949939 125.4657084941864
E 188.87052479136963 125.46700882911682
E 188.2471970273454 125.46709728240967
D 97.59958794416829 125.58042168617249
D 98.02768400026055 125.58050799369812
E 192.50292474864276 125.58168244361877
E 190.5497896467954 125.67851710319519
E 189.50647805501623 125.67859244346619
D 96.14607374500844 125.67984247207642
D 96.0132828304719 125.67992401123047
D 100.83491596289043 125.78539443016052
D 100.68142830465952 125.7854859828949
E 193.56804628803843 125.78688979148865
E 193.1493490637542 125.78697443008423
D 97.40038881685872 125.89453935623169
E 195.15216420141604 125.89551281929016
E 192.67311944621733 125.89560866355896
D 99.03307975877266 126.00645637512207
E 193.69111293726766 126.00879621505737
E 198.05090012837996 126.12197542190552
E 197.49918516425527 126.1220703125
D 100.64208556789818 126.12344908714294
D 99.95895032645686 126.28025984764099
D 93.29470957266763 126.361563205719
E 189.6502580445144 126.36267447471619
E 189.48284981310712 126.36276435852051
D 100.50681326972888 126.46696543693542
D 100.66101719039911 126.46705484390259
E 195.83232429865728 126.46837615966797
E 195.09276687855103 126.46849036216736
D 94.756619417676 126.5828857421875
D 94.99010924085975 126.58298921585083
E 191.7771789532927 126.5845742225647
D 102.99478744898049 126.68381524085999
D 103.11141816940595 126.68392753601074
E 200.07226284004742 126.6854407787323
E 198.55409616104143 126.68554711341858
E 201.4408382803048 126.78689122200012
E 201.20489083228415 126.78697872161865
E 204.5091917941164 126.89638113975525
D 111.67275264346348 126.8975818157196
D 112.23943364288633 126.89767527580261
E 209.58878877879212 126.9980080127716
E 208.82616925157384 126.99808597564697
D 108.68824167599185 127.12113237380981
D 109.91075809975054 127.12122654914856
E 204.18050340002725 127.12263798713684
E 203.66814464091723 127.12273025512695
E 205.77351164028315 127.22285962104797
E 203.64013431446872 127.33514642715454
E 203.1457777896703 127.33523869514465
D 109.43846176023884 127.33660578727722
D 109.49950837465508 127.33671689033508
D 112.26833211346404 127.43319320678711
E 206.30610224274852 127.43453407287598
E 206.42764280039802 127.43460702896118
D 104.66751537926078 127.5606746673584
D 104.70768457633008 127.56076979637146
E 201.40675665518654 127.56200766563416
E 200.76192187983585 127.56209826469421
D 111.31992680342647 127.65851902961731
D 112.07545939113496 127.65859961509705
E 207.07767308657003 127.66008305549622
E 207.43829207677692 127.66019630432129
D 105.84795003265826 127.77608394622803
E 200.83920533294508 127.77868723869324
D 103.21941756098491 127.87976503372192
D 103.52665966120892 127.87983393669128
E 198.57556087604107 127.88090991973877
E 207.9968125363175 127.99088597297668
E 207.68420725179567 127.99095487594604
D 111.97953599211233 127.99204611778259
E 205.31250976640618 128.1017336845398
E 204.96006399099366 128.10180926322937
D 109.17173789460075 128.10309886932373
E 200.51845742511992 128.22528171539307
D 103.67014439159453 128.2264494895935
D 103.505982152083 128.2265124320984
D 108.029565386853 128.33255410194397
D 108.39668566814711 128.33269691467285
E 202.53001316460634 128.33407831192017
D 105.87793448294622 128.43313717842102
D 106.49035364628834 128.43320655822754
E 203.54831747332193 128.43434476852417
E 203.58779976026517 128.4344413280487
D 99.04129065946817 128.5442078113556
D 99.52246461472238 128.5443458557129
E 195.4438230436134 128.54609036445618
D 89.69519090676593 128.6483597755432
E 186.35454401208096 128.64967584609985
E 185.5759108742444 128.6497404575348
D 93.79289288741799 128.77233815193176
E 188.3613138729381 128.7735240459442
E 189.0362600823967 128.87679386138916
E 188.93343132068233 128.87741041183472
D 109.61925129897641 128.98418259620667
E 203.0045633227024 128.9853217601776
E 201.88113451166623 128.9853870868683
D 110.7928271893652 129.0866141319275
D 110.88131239925073 129.0866894721985
E 204.91963618550804 129.08786821365356
E 203.8592527225728 129.08793759346008
D 109.75330537805745 129.19936966896057
D 110.96292351945931 129.19946146011353
E 206.40999078532315 129.2008547782898
E 205.81676612666047 129.2009346485138
D 109.76940755011205 129.30483293533325
E 206.12502010717574 129.30701231956482
E 206.06681582213963 129.30810546875
D 115.25850017407929 129.4244680404663
E 211.59480410719254 129.4257209300995
E 210.72080878298394 129.42579746246338
D 110.36967214187753 129.52918410301208
D 110.44046849102946 129.52927470207214
E 204.32193217897537 129.53045225143433
E 204.3451538987784 129.53053331375122
D 109.49040569740686 129.6401491165161
D 109.58944423115567 129.6402337551117
E 206.19917515398217 129.64174437522888
E 203.66410577127303 129.75713992118835
E 203.68293605305456 129.75721287727356
D 106.5051596419657 129.75828623771667
D 106.66010715867255 129.7583544254303
D 103.27039767784211 129.8620569705963
E 199.31700158023216 129.86324453353882
D 93.1770648448465 129.97488379478455
D 93.68350356024445 129.97499060630798
E 190.35742274306412 129.97655868530273
E 196.81651763185465 130.0860013961792
E 195.8782589737369 130.08607721328735
D 99.5545107499902 130.08732390403748
D 99.78863854666658 130.08738565444946
D 107.21936347441132 130.18654251098633
D 107.50053802030297 130.18664288520813
E 206.31768127997427 130.18790292739868
E 205.1829633610924 130.18809247016907
E 200.18640934329818 130.31015348434448
E 199.84038085115424 130.31023406982422
D 103.5058565922588 130.31133103370667
D 103.55588332679623 130.31139874458313
D 91.7948119462765 130.41362762451172
D 91.7948119462765 130.4137442111969
E 189.75488690246482 130.41545343399048
E 189.397123393922 130.41555738449097
D 98.04807708071634 130.5219600200653
D 98.33354839744426 130.52203011512756
E 193.86720087839245 130.52348279953003
E 194.07103985990935 130.52362155914307
D 105.90810982491081 130.62538933753967
D 105.71745688538427 130.62548208236694
E 187.54263290300162 130.8517746925354
E 185.6508355972472 131.1837923526764
E 181.83545793475952 131.29237461090088
E 193.42488071877312 131.6187446117401
E 181.336390468842 131.8391194343567
D 95.50652442519178 131.95087933540344
E 186.95118855449314 131.9519181251526
E 182.65724469074857 132.0580451488495
E 180.34057419946092 132.27860283851624
E 183.34391538326904 132.3975932598114
E 183.06206165737967 132.39767146110535
E 182.9228770187813 132.6191086769104
E 180.14899459075414 132.9439651966095
D 97.94239965148164 133.72715592384338
E 192.61578832898297 133.8287868499756
E 197.23935263785833 133.93803524971008
D 95.21855390791731 134.04673314094543
E 197.78494570788442 134.04813718795776
E 194.61756435796642 134.04825687408447
D 96.94494611723434 134.1587643623352
E 195.73505319085166 134.16035628318787
E 195.6000343065422 134.16047024726868
E 198.380060952891 134.3769006729126
E 195.9124969798538 134.3770396709442
D 96.93937576913982 134.37866067886353
D 96.7851025428658 134.50692534446716
E 198.69482970444693 134.50778532028198
E 194.5620952654034 134.61847829818726
D 96.02512686945775 134.6196105480194
D 96.25433587907617 134.6197018623352
E 200.00867135247782 134.7206802368164
E 199.14107884726715 134.9242913722992
E 199.72721803635025 134.92438340187073
E 199.0505304057468 135.36782431602478
E 200.67806493245087 135.47272992134094
E 196.90511330968658 135.5868227481842
D 99.23115841056902 135.5881702899933
D 103.2286835205773 135.69283151626587
E 201.55278485301278 135.6940553188324
E 201.12523851615532 135.6941578388214
E 202.32711484779352 135.8098659515381
D 105.35117744078337 135.8109290599823
D 105.27641459587599 135.81099009513855
E 197.7711740846867 136.34855222702026
E 195.51895278381633 136.5753788948059
E 195.16168257679684 136.57545399665833
E 195.21940473691953 136.7952389717102
E 194.34284407215395 137.0155222415924
E 200.26246780054606 137.23802065849304
E 199.88657295887654 137.23814296722412
E 202.72204913973857 137.35144114494324
E 200.07707384218463 137.56974625587463
E 199.72889351409384 137.56984043121338
E 196.81697117779396 137.6783607006073
E 194.91483432839726 137.78682589530945
E 196.96823397751106 137.8917772769928
E 195.2250504667841 138.11523127555847
E 195.45637983015467 138.1153280735016
E 195.32871479065116 138.22442889213562
E 195.54423359271792 138.22449946403503
E 198.3285121546219 138.44631457328796
E 198.55521061336762 138.4464111328125
E 197.72727041238528 138.55575966835022
E 196.5070663253105 138.6592574119568
D 100.16499234828655 138.78575158119202
D 100.23053536550002 138.7858636379242
